iter	Passed	Remaining
821	1513	327
822	1515	325
823	1516	323
824	1518	322
825	1519	320
826	1521	318
827	1522	316
828	1524	314
829	1525	312
830	1526	310
831	1528	308
832	1530	306
833	1531	304
834	1533	302
835	1534	301
836	1536	299
837	1537	297
838	1539	295
839	1540	293
840	1541	291
841	1543	289
842	1544	287
843	1546	285
844	1547	283
845	1549	282
846	1550	280
847	1552	278
848	1553	276
849	1555	274
850	1556	272
851	1557	270
852	1559	268
853	1560	266
854	1562	264
855	1563	263
856	1565	261
857	1566	259
858	1568	257
859	1569	255
860	1570	253
861	1572	251
862	1573	249
863	1575	247
864	1576	246
865	1578	244
866	1579	242
867	1580	240
868	1582	238
869	1583	236
870	1584	234
871	1586	232
872	1587	230
873	1589	229
874	1590	227
875	1592	225
876	1593	223
877	1594	221
878	1596	219
879	1597	217
880	1599	216
881	1600	214
882	1602	212
883	1603	210
884	1605	208
885	1606	206
886	1608	204
887	1609	203
888	1611	201
889	1612	199
890	1614	197
891	1615	195
892	1617	193
893	1618	191
894	1620	190
895	1622	188
896	1623	186
897	1625	184
898	1626	182
899	1628	180
900	1630	179
901	1631	177
902	1633	175
903	1634	173
904	1636	171
905	1637	169
906	1638	168
907	1640	166
908	1641	164
909	1643	162
910	1644	160
911	1645	158
912	1647	156
913	1648	155
914	1650	153
915	1651	151
916	1653	149
917	1654	147
918	1655	145
919	1657	144
920	1659	142
921	1660	140
922	1662	138
923	1663	136
924	1665	135
925	1666	133
926	1667	131
927	1669	129
928	1670	127
929	1672	125
930	1673	124
931	1674	122
932	1676	120
933	1677	118
934	1679	116
935	1680	114
936	1682	113
937	1683	111
938	1684	109
939	1686	107
940	1687	105
941	1688	103
942	1690	102
943	1691	100
944	1693	98
945	1694	96
946	1695	94
947	1697	93
948	1698	91
949	1699	89
950	1701	87
951	1702	85
952	1703	84
953	1705	82
954	1706	80
955	1707	78
956	1709	76
957	1710	75
958	1712	73
959	1713	71
960	1715	69
961	1716	67
962	1717	66
963	1719	64
964	1720	62
965	1722	60
966	1723	58
967	1725	57
968	1726	55
969	1727	53
970	1729	51
971	1730	49
972	1731	48
973	1733	46
974	1734	44
975	1736	42
976	1737	40
977	1739	39
978	1740	37
979	1741	35
980	1743	33
981	1744	31
982	1745	30
983	1747	28
984	1748	26
985	1750	24
986	1751	23
987	1753	21
988	1754	19
989	1755	17
990	1757	15
991	1758	14
992	1759	12
993	1760	10
994	1762	8
995	1764	7
996	1765	5
997	1767	3
998	1769	1
999	1770	0
